package,had_error
alphavantager,FALSE
amt,FALSE
apaTables,FALSE
baystability,FALSE
bioset,FALSE
blscrapeR,FALSE
ciTools,FALSE
cvequality,FALSE
dplyrAssist,FALSE
dplyr.teradata,FALSE
eda4treeR,FALSE
epitable,FALSE
fbar,FALSE
fivethirtyeight,FALSE
furniture,TRUE
genogeographer,FALSE
getTBinR,TRUE
ggconf,FALSE
ggjoy,FALSE
ggplotAssist,FALSE
ggridges,FALSE
ggthemes,FALSE
hdme,FALSE
learningCurve,FALSE
lemon,FALSE
mdsr,FALSE
moderndive,FALSE
mortAAR,FALSE
mosaicModel,TRUE
mudata2,FALSE
neuropsychology,FALSE
passport,FALSE
perccalc,FALSE
pinnacle.data,FALSE
pipeliner,TRUE
pkggraph,FALSE
pollstR,FALSE
psycho,FALSE
RBesT,FALSE
RCzechia,FALSE
rdflib,FALSE
rgeopat2,FALSE
Ricetl,FALSE
rmsfuns,FALSE
rsimsum,FALSE
rubias,FALSE
sjstats,FALSE
specklestar,FALSE
statesRcontiguous,FALSE
sweep,FALSE
theseus,FALSE
tidyinftheo,FALSE
tidyquant,FALSE
timetk,FALSE
usfertilizer,TRUE
Zelig,FALSE
